dataset,cond,metric,method,mean,sd,vs_BTYD_p,n_seeds
OnlineRetailII,all,cov95,HurdleGBM,0.9543229166666668,0.007950053931570583,0.0006516660806139112,15
OnlineRetailII,all,cov95,QuantileGBM,0.95890625,0.008053211357566795,0.0006500242387180628,15
OnlineRetailII,all,nMAE,BTYD,0.8031923439580044,0.03139265438544634,,15
OnlineRetailII,all,nMAE,PoissonGBM,0.6932659761528546,0.027960870413314343,6.103515625e-05,15
OnlineRetailII,all,nMAE,HurdleGBM,0.6938876514077744,0.02680441806617803,6.103515625e-05,15
OnlineRetailII,all,nMAE,QuantileGBM,0.6809255052076685,0.024396399408899528,6.103515625e-05,15
OnlineRetailII,all,pit_ks,BTYD,0.21086677039101592,0.013111432530170407,,15
OnlineRetailII,all,pit_ks,PoissonGBM,0.05506722084066609,0.007182593214528882,6.103515625e-05,15
OnlineRetailII,all,pit_ks,HurdleGBM,0.040597400077464006,0.007496279853050303,6.103515625e-05,15
OnlineRetailII,all,pit_ks,QuantileGBM,0.042277272683430726,0.010771702737628659,6.103515625e-05,15
OnlineRetailII,x>0,CRPS,BTYD,0.974549964347617,0.04055187104391743,,15
OnlineRetailII,x>0,CRPS,PoissonGBM,0.8986131442219566,0.059329797725663,6.103515625e-05,15
OnlineRetailII,x>0,CRPS,HurdleGBM,0.9128384568000326,0.05523620175552842,0.0001220703125,15
OnlineRetailII,x>0,CRPS,QuantileGBM,0.8881439058789875,0.06426045344057943,0.0001220703125,15
OnlineRetailII,x>0,cov50,BTYD,0.7181847237530217,0.012620709403543375,,15
OnlineRetailII,x>0,cov50,PoissonGBM,0.712786379099355,0.015026447566653299,0.08647492810359511,15
OnlineRetailII,x>0,cov50,HurdleGBM,0.7126521015060823,0.01695656619896834,0.1005251728089838,15
OnlineRetailII,x>0,cov50,QuantileGBM,0.7919695900692145,0.017700079464337798,6.103515625e-05,15
OnlineRetailII,x>0,cov95,BTYD,0.9879808932101244,0.004397781263463098,,15
OnlineRetailII,x>0,cov95,PoissonGBM,0.9401571539698604,0.010012763453660574,6.103515625e-05,15
OnlineRetailII,x>0,cov95,HurdleGBM,0.9432166040007579,0.010949302328318799,6.103515625e-05,15
OnlineRetailII,x>0,cov95,QuantileGBM,0.9550821877590553,0.01045839061049053,6.103515625e-05,15
OnlineRetailII,x>0,nMAE,BTYD,0.7315769385993183,0.031900015981706366,,15
OnlineRetailII,x>0,nMAE,PoissonGBM,0.652225280930408,0.030218268571149814,6.103515625e-05,15
OnlineRetailII,x>0,nMAE,HurdleGBM,0.6617843910714346,0.02997583750113905,6.103515625e-05,15
OnlineRetailII,x>0,nMAE,QuantileGBM,0.6476673433984994,0.02812271818732813,6.103515625e-05,15
OnlineRetailII,x>0,pit_ks,BTYD,0.22058448778081416,0.009796027924094647,,15
OnlineRetailII,x>0,pit_ks,PoissonGBM,0.06206873723841752,0.01091012384743647,6.103515625e-05,15
OnlineRetailII,x>0,pit_ks,HurdleGBM,0.05632599484582544,0.011050816095845826,6.103515625e-05,15
