k,rep,model,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred,k_hat,E_lambda_true,E_lambda_pnbd,E_lambda_ggg
1.5,8,GGG,xcal_pos,395,0.03178566881646139,0.793948206126882,0.7949367088607595,0.979746835443038,1.9797468354430379,1.749367088607595,1.462996656993029,0.08871218018902811,0.07045927516593385,0.08296513043987176
1.5,9,PNBD,all,800,0.03377495978346989,0.18933139792899412,0.94375,0.98625,0.40125,0.324375,1.3966704144173478,0.0888079754585343,0.07896852821391133,0.08994961995834158
1.5,9,PNBD,xcal_pos,277,0.03276768412230335,0.5072356503535342,0.8700361010830325,0.9927797833935018,1.1191335740072201,0.9368231046931408,1.3966704144173478,0.0888079754585343,0.07896852821391133,0.08994961995834158
1.5,9,GGG,all,800,0.034625703039518174,0.18393115754437872,0.94875,0.9825,0.40125,0.341875,1.3966704144173478,0.0888079754585343,0.07896852821391133,0.08994961995834158
1.5,9,GGG,xcal_pos,277,0.034939870090469505,0.49199421100976226,0.8844765342960289,0.9819494584837545,1.1191335740072201,0.9873646209386282,1.3966704144173478,0.0888079754585343,0.07896852821391133,0.08994961995834158
1.5,10,PNBD,all,800,0.033005076557188984,0.41958459689349115,0.90375,0.99,1.55,1.476875,1.488899947772325,0.15158531647104168,0.1366814029677811,0.16115772196047923
1.5,10,PNBD,xcal_pos,340,0.05340635546785427,0.9490249303863558,0.8029411764705883,1.0,3.6088235294117648,3.475,1.488899947772325,0.15158531647104168,0.1366814029677811,0.16115772196047923
1.5,10,GGG,all,800,0.030511500879623732,0.41053772189349114,0.8925,0.9875,1.55,1.523125,1.488899947772325,0.15158531647104168,0.1366814029677811,0.16115772196047923
1.5,10,GGG,xcal_pos,340,0.035440499762274646,0.9282248955795337,0.7764705882352941,0.9852941176470589,3.6088235294117648,3.583823529411765,1.488899947772325,0.15158531647104168,0.1366814029677811,0.16115772196047923
1.5,11,PNBD,all,800,0.023598050798106285,0.3818359467455621,0.85875,0.98875,0.7125,0.441875,1.412810653604577,0.08780435021734907,0.06438521111690931,0.08189989929425305
1.5,11,PNBD,xcal_pos,422,0.05381756913090946,0.6713154112566252,0.7819905213270142,0.985781990521327,1.2962085308056872,0.8376777251184834,1.412810653604577,0.08780435021734907,0.06438521111690931,0.08189989929425305
1.5,11,GGG,all,800,0.028851351888957932,0.3734459689349112,0.865,0.98375,0.7125,0.471875,1.412810653604577,0.08780435021734907,0.06438521111690931,0.08189989929425305
1.5,11,GGG,xcal_pos,422,0.05934088480250149,0.6565687484225582,0.7938388625592417,0.976303317535545,1.2962085308056872,0.8945497630331753,1.412810653604577,0.08780435021734907,0.06438521111690931,0.08189989929425305
