dataset,seed,method,cond,metric,value
Ta-Feng,5,ZILN,x>0,nMAE,1.630524094700259
Ta-Feng,6,BTYD+GG,all,CRPS,4058.8969913711876
Ta-Feng,6,BTYD+GG,all,pit_ks,0.0878206633401819
Ta-Feng,6,BTYD+GG,all,cov95,0.9404167889638979
Ta-Feng,6,BTYD+GG,all,nMAE,1.022888325903643
Ta-Feng,6,BTYD+GG,x>0,CRPS,6349.720581978284
Ta-Feng,6,BTYD+GG,x>0,pit_ks,0.09539881831610053
Ta-Feng,6,BTYD+GG,x>0,cov95,0.9299852289512556
Ta-Feng,6,BTYD+GG,x>0,nMAE,1.0268596884363548
Ta-Feng,6,ZILN,all,CRPS,4801.415091326913
Ta-Feng,6,ZILN,all,pit_ks,0.019345465218667424
Ta-Feng,6,ZILN,all,cov95,0.9798943351922512
Ta-Feng,6,ZILN,all,nMAE,1.2230363245435605
Ta-Feng,6,ZILN,x>0,CRPS,7896.408341123204
Ta-Feng,6,ZILN,x>0,pit_ks,0.03957902511078287
Ta-Feng,6,ZILN,x>0,cov95,0.9813884785819793
Ta-Feng,6,ZILN,x>0,nMAE,1.276345880120642
Ta-Feng,7,BTYD+GG,all,CRPS,61245.84772197745
Ta-Feng,7,BTYD+GG,all,pit_ks,0.08688875843850896
Ta-Feng,7,BTYD+GG,all,cov95,0.9418843557381861
Ta-Feng,7,BTYD+GG,all,nMAE,1.0750857751133314
Ta-Feng,7,BTYD+GG,x>0,CRPS,120033.77031455441
Ta-Feng,7,BTYD+GG,x>0,pit_ks,0.09855127828386723
Ta-Feng,7,BTYD+GG,x>0,cov95,0.9262415515721423
Ta-Feng,7,BTYD+GG,x>0,nMAE,1.0768263519661794
Ta-Feng,7,ZILN,all,CRPS,59840.96923524176
Ta-Feng,7,ZILN,all,pit_ks,0.01814059289697678
Ta-Feng,7,ZILN,all,cov95,0.980921631934253
Ta-Feng,7,ZILN,all,nMAE,1.0633702213023024
Ta-Feng,7,ZILN,x>0,CRPS,117255.76637900794
Ta-Feng,7,ZILN,x>0,pit_ks,0.035146929180135233
Ta-Feng,7,ZILN,x>0,cov95,0.9779606229797237
Ta-Feng,7,ZILN,x>0,nMAE,1.064910284283937
Ta-Feng,8,BTYD+GG,all,CRPS,4765.4723160037365
Ta-Feng,8,BTYD+GG,all,pit_ks,0.08342823598473725
Ta-Feng,8,BTYD+GG,all,cov95,0.9389492221896096
Ta-Feng,8,BTYD+GG,all,nMAE,0.9116895007918443
Ta-Feng,8,BTYD+GG,x>0,CRPS,6942.648216839336
Ta-Feng,8,BTYD+GG,x>0,pit_ks,0.09428193054738077
Ta-Feng,8,BTYD+GG,x>0,cov95,0.9243672748675692
Ta-Feng,8,BTYD+GG,x>0,nMAE,0.8854243307155941
Ta-Feng,8,ZILN,all,CRPS,5624.776133677336
Ta-Feng,8,ZILN,all,pit_ks,0.02985764602289409
Ta-Feng,8,ZILN,all,cov95,0.98004109186968
Ta-Feng,8,ZILN,all,nMAE,1.1198506819233225
Ta-Feng,8,ZILN,x>0,CRPS,8700.567315636292
Ta-Feng,8,ZILN,x>0,pit_ks,0.044390818128310694
Ta-Feng,8,ZILN,x>0,cov95,0.9749852854620364
Ta-Feng,8,ZILN,x>0,nMAE,1.1549152379652996
Ta-Feng,9,BTYD+GG,all,CRPS,61432.41357355726
Ta-Feng,9,BTYD+GG,all,pit_ks,0.07831229820956853
Ta-Feng,9,BTYD+GG,all,cov95,0.9399765189316114
